date_pulled,ad_id,req_id,google_aid,lead_id,reg_time,chuoe_time,loanapply,loanapproval,value,af_adset_id,,,,,,,,,
20230330,1761120106771490,2023032916235101009908102212B75770,10a7203a-976b-4933-9cba-7f7dbb0b68ec,7216004160737542427,2023/03/29 23:35:38, , , ,0,1761120106771490,,,,,,,,,
20230330,1761119891266609,202303270457520100990810381A253FA4,68c7b86a-fdf3-4d9c-bc17-1c0c4e4122f4,7215084255444222235,2023/03/27 12:03:28,\N,\N,\N,0,1761119891266609,,,,,,,,,
20230330,1761120106771490,20230328015817010099080212282BA115,7cda1551-8757-4aeb-8c2c-9c458d9f2f87,7215411125846802715,2023/03/29 07:21:42,\N,\N,\N,0,1761120106771490,,,,,,,,,
20230330,1761119891266609,20230327055618010099071216125F63CB,2832042b-1ea9-41c2-948a-7235b2a28f96,7215099613026681115,2023/03/27 13:04:19,2023/03/27 13:13:32,\N,\N,Negative,1761119891266609,,,,,,,,,
20230330,1761120106771490,20230327210341010099068217365659D3,b97c67d5-40f4-431c-943c-3577b4764235,7215331948405866778,2023/03/28 04:12:55,\N,\N,\N,0,1761120106771490,,,,,,,,,
20230330,1761120106771490,202303272256300100990712160CF86AB9,2c6bfc77-8264-4f0b-b719-d43c66a49486,7215362029601866010,2023/03/28 06:03:39,\N,\N,\N,0,1761120106771490,,,,,,,,,
20230330,1761120106771490,202303271456350100990720961E84913A,3fedfdf6-c8fa-45e6-97ab-07e688b09144,7215242188161270042,2023/03/28 06:32:19,\N,\N,\N,0,1761120106771490,,,,,,,,,
20230330,1761120106771490,202303281515290101071291012A4F366B,dbfbf8ac-f31f-4f81-a081-63f0956d5d2c,7215615225645695238,2023/03/28 22:24:27,\N,\N,\N,0,1761120106771490,,,,,,,,,
20230330,1761119891266609,2.02E+36,1e9695b3-91c6-4b9d-ada5-c28427839fac,7215998290888868122,2023/03/29 23:08:33,\N,\N,\N,0,1761119891266609,,,,,,,,,
20230330,1761119891266609,20230327074715010107130154084DA896,06593e26-1af7-45ce-ad4b-32ba4656d4c2,7215127976306868486,2023/03/27 14:53:41,2023/03/27 17:52:51,\N,\N,Negative,1761119891266609,,,,,,,,,
20230330,1761120106771490,2023032912283601009908023745DDCA33,f3f3d221-2325-4423-89b8-7968df58d154,7215941957682594074,2023/03/29 19:31:59,2023/03/29 19:38:04,\N,\N,High,1761120106771490,,,,,,,,,
